Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Refused transplant,Arkansas,B,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Refused transplant,California,All ABO,"1,487",57,42,63,82,91,112,110,97,95,89,107,74,56,59,102,39,32,36,29,13,12,8,20,24,25,19
Refused transplant,California,O,699,35,22,25,41,44,58,50,45,44,37,47,36,22,31,46,16,15,21,15,6,6,4,8,8,12,8
Refused transplant,California,A,487,14,11,27,22,26,37,32,33,30,30,38,26,19,19,32,14,14,8,10,4,4,3,10,9,9,8
Refused transplant,California,B,254,8,8,10,17,18,15,21,17,16,19,20,11,11,8,19,7,1,6,4,3,2,1,0,7,3,3
Refused transplant,California,AB,47,0,1,1,2,3,2,7,2,5,3,2,1,4,1,5,2,2,1,0,0,0,0,2,0,1,0
Refused transplant,Colorado,All ABO,67,1,1,7,3,6,5,10,6,2,6,0,3,0,1,2,2,3,2,3,0,2,1,0,1,0,0
Refused transplant,Colorado,O,35,0,1,3,3,5,1,4,2,2,2,0,2,0,1,1,0,1,2,2,0,2,1,0,0,0,0
Refused transplant,Colorado,A,19,1,0,2,0,1,2,3,2,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
Refused transplant,Colorado,B,10,0,0,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Refused transplant,Colorado,AB,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Connecticut,All ABO,69,7,4,1,4,3,6,0,3,4,5,3,1,0,0,0,1,0,1,3,0,4,3,2,7,5,2
Refused transplant,Connecticut,O,31,3,2,0,2,1,2,0,2,2,1,3,0,0,0,0,0,0,0,2,0,1,2,2,4,2,0
Refused transplant,Connecticut,A,24,2,2,0,2,0,3,0,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,0,2,2,2
Refused transplant,Connecticut,B,8,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
Refused transplant,Connecticut,AB,6,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,Delaware,All ABO,17,2,1,1,0,2,1,4,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Delaware,O,5,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Delaware,A,8,1,0,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Delaware,B,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Delaware,AB,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,District of Columbia,All ABO,114,2,6,8,2,2,9,4,8,1,4,3,5,3,9,11,6,4,7,3,4,4,3,2,2,1,3
Refused transplant,District of Columbia,O,57,2,5,4,0,0,8,2,3,0,3,1,5,0,4,7,4,2,2,2,1,0,0,1,0,0,2
Refused transplant,District of Columbia,A,33,0,1,2,1,1,1,2,3,1,0,1,0,2,3,2,1,1,3,1,2,3,0,1,2,0,0
Refused transplant,District of Columbia,B,21,0,0,2,1,1,0,0,2,0,0,1,0,1,2,2,1,1,2,0,1,1,1,0,0,1,1
Refused transplant,District of Columbia,AB,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Refused transplant,Florida,All ABO,335,10,11,11,15,27,29,29,15,13,9,11,10,12,7,11,13,23,14,20,5,9,4,1,5,9,12
Refused transplant,Florida,O,176,3,8,7,10,12,17,14,8,6,5,8,3,5,3,9,8,12,6,9,2,5,3,1,2,3,7
Refused transplant,Florida,A,92,5,0,2,0,11,6,8,4,5,2,2,3,6,3,1,3,5,7,7,0,4,1,0,0,3,4
Refused transplant,Florida,B,51,2,2,2,4,4,4,6,2,0,1,1,4,1,0,1,1,3,1,4,3,0,0,0,1,3,1
Refused transplant,Florida,AB,16,0,1,0,1,0,2,1,1,2,1,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0
Refused transplant,Georgia,All ABO,163,9,27,17,12,6,6,11,15,9,10,5,0,1,2,0,1,0,1,3,6,1,7,0,5,5,6
Refused transplant,Georgia,O,89,6,17,9,7,4,2,4,8,7,7,3,0,1,2,0,0,0,0,0,1,1,4,0,2,1,3
Refused transplant,Georgia,A,47,1,7,4,3,0,3,5,5,2,1,2,0,0,0,0,1,0,0,2,2,0,2,0,3,3,3
Refused transplant,Georgia,B,22,2,2,4,2,2,1,1,2,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
Refused transplant,Georgia,AB,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Refused transplant,Hawaii,All ABO,137,0,9,8,3,5,24,5,8,9,2,3,7,9,1,7,12,6,2,1,2,3,0,1,2,3,5
Refused transplant,Hawaii,O,53,0,5,2,0,3,4,1,3,1,0,1,3,3,1,2,8,4,2,1,1,2,0,1,1,1,3
Refused transplant,Hawaii,A,40,0,1,4,2,1,8,2,3,4,2,1,2,1,0,2,3,0,0,0,1,0,0,0,0,2,1
Refused transplant,Hawaii,B,36,0,2,1,1,1,12,2,2,4,0,1,0,5,0,1,1,0,0,0,0,1,0,0,1,0,1
Refused transplant,Hawaii,AB,8,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Refused transplant,Illinois,All ABO,306,7,10,9,11,40,38,14,19,22,17,20,31,7,4,4,2,4,2,6,0,0,4,3,14,7,11
Refused transplant,Illinois,O,148,3,5,4,7,28,13,5,9,10,7,7,19,3,3,2,2,2,0,2,0,0,4,1,7,3,2
Refused transplant,Illinois,A,89,0,5,4,3,6,15,5,4,6,6,7,10,3,1,1,0,2,1,2,0,0,0,0,2,3,3
Refused transplant,Illinois,B,61,3,0,1,0,5,8,4,5,5,4,6,2,1,0,1,0,0,1,2,0,0,0,2,5,1,5
Refused transplant,Illinois,AB,8,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Refused transplant,Indiana,All ABO,123,7,4,4,13,13,13,10,9,13,7,8,4,3,3,1,2,0,1,3,1,0,0,0,1,1,2
Refused transplant,Indiana,O,54,2,2,1,7,6,6,4,6,5,3,5,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0
Refused transplant,Indiana,A,46,3,2,0,4,6,5,3,2,4,4,2,1,1,1,0,2,0,1,2,1,0,0,0,0,0,2
Refused transplant,Indiana,B,18,2,0,3,2,1,1,2,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Indiana,AB,5,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,Iowa,All ABO,39,0,2,3,3,1,2,0,2,6,1,0,4,4,2,3,0,1,2,0,0,0,1,0,1,1,0
Refused transplant,Iowa,O,19,0,1,1,2,0,1,0,1,5,1,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0
Refused transplant,Iowa,A,16,0,1,2,1,1,1,0,1,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,1,0,0
Refused transplant,Iowa,B,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Refused transplant,Kansas,All ABO,30,0,0,1,0,4,3,1,1,3,1,0,4,2,0,0,0,0,0,0,0,0,1,0,5,3,1
Refused transplant,Kansas,O,16,0,0,1,0,2,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,1
Refused transplant,Kansas,A,9,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Refused transplant,Kansas,B,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Kansas,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Refused transplant,Kentucky,All ABO,35,2,2,3,4,3,5,2,0,5,1,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,0
Refused transplant,Kentucky,O,17,1,1,2,2,1,1,2,0,2,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Refused transplant,Kentucky,A,11,0,0,1,1,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Refused transplant,Kentucky,B,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Kentucky,AB,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Refused transplant,Louisiana,All ABO,165,8,15,11,16,8,11,12,1,1,4,8,3,5,6,2,4,3,7,9,4,5,9,4,5,3,2
Refused transplant,Louisiana,O,77,5,13,6,5,5,4,6,1,0,0,2,0,2,5,1,0,1,5,2,2,2,5,2,2,1,1
Refused transplant,Louisiana,A,46,2,2,4,5,3,2,3,0,1,0,2,3,2,0,0,1,0,1,5,2,2,2,1,2,1,0
Refused transplant,Louisiana,B,34,1,0,1,4,0,4,3,0,0,4,3,0,1,1,1,2,2,0,1,0,1,1,1,1,1,1
Refused transplant,Louisiana,AB,8,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
Refused transplant,Maine,All ABO,15,0,0,0,0,0,0,0,1,0,0,0,2,1,7,1,1,0,0,0,0,0,0,0,2,0,0
Refused transplant,Maine,O,10,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,1,0,0,0,0,0,0,0,1,0,0
Refused transplant,Maine,A,5,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,Maryland,All ABO,294,10,16,14,5,4,7,17,6,27,20,4,6,6,20,31,14,22,7,9,14,11,3,2,6,7,6
Refused transplant,Maryland,O,143,6,6,3,4,2,3,8,2,15,10,3,0,2,14,18,8,8,1,2,8,8,1,1,4,3,3
Refused transplant,Maryland,A,84,3,5,4,1,0,1,5,1,8,6,1,4,2,2,6,5,8,2,6,4,0,2,1,1,4,2
Refused transplant,Maryland,B,54,1,4,5,0,1,3,4,2,4,3,0,2,2,4,5,1,4,4,0,2,1,0,0,1,0,1
Refused transplant,Maryland,AB,13,0,1,2,0,1,0,0,1,0,1,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0
Refused transplant,Massachusetts,All ABO,129,5,8,3,3,8,5,9,8,9,6,5,8,7,4,9,3,5,3,5,2,5,2,2,2,1,2
Refused transplant,Massachusetts,O,61,4,1,2,2,1,4,5,3,5,4,3,7,4,1,4,1,1,0,4,0,2,1,0,1,0,1
Refused transplant,Massachusetts,A,34,0,2,1,0,3,0,2,4,2,0,2,1,1,3,2,0,2,2,1,1,2,0,1,1,1,0
Refused transplant,Massachusetts,B,24,1,1,0,1,3,1,2,1,2,1,0,0,2,0,3,1,1,0,0,1,0,1,1,0,0,1
Refused transplant,Massachusetts,AB,10,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Refused transplant,Michigan,All ABO,169,4,11,14,13,13,7,7,3,5,8,3,8,7,3,5,4,2,3,5,2,8,0,11,11,10,3
Refused transplant,Michigan,O,74,2,6,6,5,7,1,4,0,3,4,2,4,3,3,4,0,0,2,1,1,5,0,2,7,1,2
Refused transplant,Michigan,A,51,0,4,7,7,3,2,0,0,2,3,0,3,0,0,0,4,1,0,4,0,1,0,5,0,5,0
Refused transplant,Michigan,B,37,2,1,1,1,3,4,3,2,0,1,1,1,4,0,1,0,0,0,0,0,2,0,3,3,3,1
Refused transplant,Michigan,AB,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0
Refused transplant,Minnesota,All ABO,120,3,6,9,9,14,28,5,8,9,6,2,2,0,3,2,2,0,2,1,0,1,0,2,0,2,4
Refused transplant,Minnesota,O,69,2,1,4,4,10,15,5,8,5,2,1,1,0,2,2,1,0,0,1,0,1,0,2,0,0,2
Refused transplant,Minnesota,A,31,1,2,3,3,2,7,0,0,2,2,1,1,0,1,0,1,0,2,0,0,0,0,0,0,2,1
Refused transplant,Minnesota,B,14,0,2,1,1,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Refused transplant,Minnesota,AB,6,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Mississippi,All ABO,20,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,4
Refused transplant,Mississippi,O,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1
Refused transplant,Mississippi,A,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2
Refused transplant,Mississippi,B,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Mississippi,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Refused transplant,Missouri,All ABO,86,0,0,5,2,1,8,7,10,3,10,6,4,5,1,2,2,1,2,0,3,2,3,0,2,3,4
Refused transplant,Missouri,O,40,0,0,1,1,1,3,4,7,0,4,3,3,4,0,1,2,0,0,0,2,0,1,0,1,2,0
Refused transplant,Missouri,A,27,0,0,3,0,0,4,2,2,3,5,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,2
Refused transplant,Missouri,B,13,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2
Refused transplant,Missouri,AB,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Refused transplant,Nebraska,All ABO,41,0,2,2,0,1,2,1,3,2,8,0,11,0,2,0,3,1,1,0,0,0,1,0,0,0,1
Refused transplant,Nebraska,O,25,0,2,1,0,1,1,0,1,1,5,0,8,0,1,0,2,1,0,0,0,0,0,0,0,0,1
Refused transplant,Nebraska,A,12,0,0,1,0,0,1,1,2,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Refused transplant,Nebraska,B,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Refused transplant,Nebraska,AB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Nevada,All ABO,43,0,2,3,9,2,2,1,0,0,1,5,3,4,2,2,1,0,2,1,0,0,0,0,1,1,1
Refused transplant,Nevada,O,18,0,1,1,3,1,1,0,0,0,0,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1
Refused transplant,Nevada,A,11,0,0,0,2,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
Refused transplant,Nevada,B,11,0,0,1,4,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Refused transplant,Nevada,AB,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,New Hampshire,All ABO,14,1,0,0,0,1,1,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,New Hampshire,O,7,1,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,New Hampshire,A,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,New Hampshire,B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,New Hampshire,AB,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,New Jersey,All ABO,233,16,17,11,19,11,27,22,15,12,28,19,9,8,3,2,5,1,1,0,0,1,0,0,0,2,5
Refused transplant,New Jersey,O,102,5,8,6,10,4,13,11,6,7,11,6,3,2,2,2,2,1,0,0,0,0,0,0,0,2,1
Refused transplant,New Jersey,A,89,7,6,3,8,5,10,7,6,2,12,8,4,4,1,0,2,0,1,0,0,0,0,0,0,0,3
Refused transplant,New Jersey,B,35,4,3,2,0,1,3,4,3,2,5,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
Refused transplant,New Jersey,AB,7,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,New Mexico,All ABO,43,1,1,4,0,0,0,0,0,2,3,1,1,2,1,7,1,1,4,2,1,4,0,0,5,2,1
Refused transplant,New Mexico,O,23,0,1,4,0,0,0,0,0,0,1,0,1,1,1,3,1,1,3,1,1,0,0,0,3,1,1
Refused transplant,New Mexico,A,16,1,0,0,0,0,0,0,0,1,2,1,0,1,0,4,0,0,1,0,0,4,0,0,1,0,0
Refused transplant,New Mexico,B,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Refused transplant,New York,All ABO,643,16,31,28,31,33,49,44,46,32,41,38,24,23,41,9,15,14,17,18,9,23,19,10,7,11,17
Refused transplant,New York,O,314,11,15,14,15,17,21,23,27,13,20,16,9,12,22,3,8,7,7,8,1,12,10,8,5,4,8
Refused transplant,New York,A,193,5,10,10,10,7,18,12,10,13,13,13,6,6,8,2,3,6,8,7,5,5,4,2,2,4,5
Refused transplant,New York,B,120,0,6,4,5,7,9,9,8,6,7,7,7,4,10,4,4,1,2,2,3,5,5,0,0,2,3
Refused transplant,New York,AB,16,0,0,0,1,2,1,0,1,0,1,2,2,1,1,0,0,0,0,1,0,1,0,0,0,1,1
Refused transplant,North Carolina,All ABO,324,2,8,14,21,21,33,34,24,13,22,12,4,6,13,16,24,12,7,11,11,3,3,2,0,6,3
Refused transplant,North Carolina,O,155,1,2,5,13,6,17,19,10,4,13,6,2,4,5,8,8,6,5,7,4,2,2,1,0,4,2
Refused transplant,North Carolina,A,97,1,4,5,7,11,8,12,7,3,1,2,0,2,7,3,11,4,1,2,3,0,1,0,0,1,1
Refused transplant,North Carolina,B,58,0,2,4,1,4,6,3,4,3,6,3,2,0,1,4,5,2,1,2,3,1,0,1,0,0,0
Refused transplant,North Carolina,AB,14,0,0,0,0,0,2,0,3,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Refused transplant,North Dakota,All ABO,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Refused transplant,North Dakota,O,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Refused transplant,Ohio,All ABO,152,6,4,5,6,5,5,9,13,6,10,5,6,7,8,10,11,7,4,1,2,6,4,4,1,5,2
Refused transplant,Ohio,O,72,5,1,2,3,1,3,4,5,2,4,1,5,4,5,5,6,3,4,1,2,2,1,1,0,1,1
Refused transplant,Ohio,A,44,1,1,2,2,4,1,4,5,1,3,3,1,0,2,2,3,2,0,0,0,2,2,2,0,1,0
Refused transplant,Ohio,B,29,0,2,1,1,0,0,1,1,2,3,1,0,3,1,3,2,2,0,0,0,2,1,0,1,1,1
Refused transplant,Ohio,AB,7,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Refused transplant,Oklahoma,All ABO,103,3,8,8,3,6,4,2,5,4,2,5,9,6,0,2,3,2,5,2,4,6,4,4,3,0,4
Refused transplant,Oklahoma,O,48,1,2,4,0,4,0,2,3,2,2,1,7,3,0,1,0,1,3,0,1,5,1,2,2,0,1
Refused transplant,Oklahoma,A,36,1,4,3,2,2,2,0,2,1,0,2,1,1,0,0,1,1,2,2,2,0,3,1,1,0,3
Refused transplant,Oklahoma,B,18,1,2,1,1,0,2,0,0,1,0,1,1,2,0,1,2,0,0,0,1,1,0,1,0,0,0
Refused transplant,Oklahoma,AB,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Oregon,All ABO,53,1,5,0,10,3,3,5,8,5,3,1,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0
Refused transplant,Oregon,O,34,1,5,0,4,2,3,4,3,5,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
Refused transplant,Oregon,A,13,0,0,0,5,1,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Oregon,B,6,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,Pennsylvania,All ABO,428,5,16,21,24,15,16,8,28,31,49,32,15,19,16,5,5,10,26,14,15,9,9,3,7,13,18
Refused transplant,Pennsylvania,O,218,2,8,13,17,9,6,5,11,12,22,17,10,10,10,1,4,6,17,5,6,6,4,1,3,5,8
Refused transplant,Pennsylvania,A,121,2,6,6,2,5,7,2,9,6,15,9,2,5,4,3,1,2,3,6,6,2,4,2,2,4,6
Refused transplant,Pennsylvania,B,78,1,2,2,5,1,2,1,7,10,10,5,2,4,2,1,0,1,6,3,3,1,1,0,2,4,3
Refused transplant,Pennsylvania,AB,11,0,0,0,0,0,1,0,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Refused transplant,Puerto Rico,All ABO,101,2,6,9,4,5,4,6,3,8,10,9,7,9,6,2,3,1,0,1,0,0,0,0,2,1,3
Refused transplant,Puerto Rico,O,54,1,5,5,3,2,2,3,1,3,5,4,3,5,2,2,3,1,0,1,0,0,0,0,1,0,2
Refused transplant,Puerto Rico,A,31,1,0,2,1,0,2,3,1,4,4,3,3,2,3,0,0,0,0,0,0,0,0,0,1,1,0
Refused transplant,Puerto Rico,B,14,0,1,2,0,3,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Refused transplant,Puerto Rico,AB,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Rhode Island,All ABO,13,0,1,1,0,0,0,0,0,0,0,2,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0
Refused transplant,Rhode Island,O,5,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Rhode Island,A,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Refused transplant,Rhode Island,B,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Refused transplant,South Carolina,All ABO,81,0,4,4,7,2,3,10,9,1,2,2,0,0,0,2,10,2,1,2,2,2,6,3,2,4,1
Refused transplant,South Carolina,O,39,0,2,3,1,1,1,6,3,1,2,1,0,0,0,0,8,0,0,1,1,0,2,1,1,3,1
Refused transplant,South Carolina,A,15,0,0,1,1,1,1,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0
Refused transplant,South Carolina,B,24,0,2,0,5,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,2,4,1,1,0,0
Refused transplant,South Carolina,AB,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Refused transplant,South Dakota,All ABO,50,5,5,0,6,8,7,5,2,3,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1
Refused transplant,South Dakota,O,32,4,2,0,6,4,2,4,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Refused transplant,South Dakota,A,11,0,3,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,South Dakota,B,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Refused transplant,South Dakota,AB,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Tennessee,All ABO,131,9,4,2,31,17,12,3,2,4,2,0,0,6,4,1,4,4,0,5,2,5,1,2,0,2,10
Refused transplant,Tennessee,O,68,3,4,1,15,7,8,0,2,2,1,0,0,4,2,0,1,2,0,2,1,3,1,2,0,2,6
Refused transplant,Tennessee,A,39,5,0,0,11,4,1,1,0,2,0,0,0,1,2,1,2,2,0,1,1,2,0,0,0,0,3
Refused transplant,Tennessee,B,18,1,0,0,4,4,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Refused transplant,Tennessee,AB,6,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Refused transplant,Texas,All ABO,985,35,27,76,115,79,35,54,40,56,48,46,40,47,46,55,33,25,39,17,16,9,10,8,11,7,17
Refused transplant,Texas,O,543,15,9,42,62,44,17,35,20,29,24,25,26,23,24,34,20,13,27,11,11,6,6,5,7,5,8
Refused transplant,Texas,A,265,12,10,18,28,25,9,12,14,17,14,13,8,14,14,12,7,7,7,5,4,1,2,3,2,1,7
Refused transplant,Texas,B,151,7,6,10,23,10,7,7,6,10,10,7,6,5,6,8,6,4,4,1,1,2,1,0,2,1,1
Refused transplant,Texas,AB,26,1,2,6,2,0,2,0,0,0,0,1,0,5,2,1,0,1,1,0,0,0,1,0,0,0,1
Refused transplant,Utah,All ABO,37,4,3,2,3,1,2,1,2,2,1,1,0,0,1,3,0,5,0,1,1,0,3,0,1,0,0
Refused transplant,Utah,O,23,3,3,0,3,1,1,1,2,1,0,1,0,0,0,1,0,2,0,0,1,0,2,0,1,0,0
Refused transplant,Utah,A,8,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
Refused transplant,Utah,B,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
Refused transplant,Vermont,All ABO,12,0,1,0,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Refused transplant,Vermont,O,7,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Refused transplant,Vermont,A,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Vermont,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Refused transplant,Vermont,AB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refused transplant,Virginia,All ABO,234,15,11,23,19,16,20,8,9,16,12,6,8,5,4,6,9,6,8,1,8,3,9,2,4,3,4
Refused transplant,Virginia,O,110,9,5,13,8,11,6,3,5,7,6,2,4,5,0,2,4,2,3,0,3,1,5,1,1,1,3
Refused transplant,Virginia,A,72,3,0,7,7,4,10,4,2,3,3,2,2,0,0,4,4,3,3,0,3,2,2,1,2,1,0
Refused transplant,Virginia,B,43,3,6,2,4,1,2,1,1,5,3,2,2,0,3,0,0,1,2,1,1,0,2,0,1,1,0
