,Removal_Reason,State,ABO,To_Date,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,removal_category
1482,Also Waiting for KP; recvd KP,All Center States,A,"3,468",107,139,137,143,120,115,125,144,173,145,158,166,174,169,213,204,197,185,212,203,204,49,0,0,0,0,Received Deceased Donor Transplant
1483,Also Waiting for KP; recvd KP,All Center States,B,"1,156",53,45,50,37,66,34,37,49,51,48,56,67,57,65,69,64,63,50,51,58,73,15,0,0,0,0,Received Deceased Donor Transplant
1484,Also Waiting for KP; recvd KP,All Center States,AB,414,15,20,9,12,18,17,11,18,18,22,17,19,23,18,26,24,28,26,25,23,21,6,0,0,0,0,Received Deceased Donor Transplant
1485,Also Waiting for KP; recvd KP,Alabama,All ABO,248,2,0,1,5,10,9,7,10,15,10,20,11,11,12,24,13,13,19,15,18,21,2,0,0,0,0,Received Deceased Donor Transplant
1486,Also Waiting for KP; recvd KP,Alabama,O,119,2,0,0,2,6,4,2,3,6,6,13,6,4,8,15,6,1,13,7,7,7,1,0,0,0,0,Received Deceased Donor Transplant
1487,Also Waiting for KP; recvd KP,Alabama,A,91,0,0,1,2,2,3,2,5,6,2,5,3,6,2,8,5,8,5,6,8,11,1,0,0,0,0,Received Deceased Donor Transplant
1488,Also Waiting for KP; recvd KP,Alabama,B,23,0,0,0,1,2,1,3,1,0,2,2,1,0,1,1,1,3,0,1,1,2,0,0,0,0,0,Received Deceased Donor Transplant
1489,Also Waiting for KP; recvd KP,Alabama,AB,15,0,0,0,0,0,1,0,1,3,0,0,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,Received Deceased Donor Transplant
1490,Also Waiting for KP; recvd KP,Arizona,All ABO,106,3,6,8,14,13,7,3,2,3,4,3,3,4,5,14,9,1,1,0,1,2,0,0,0,0,0,Received Deceased Donor Transplant
1491,Also Waiting for KP; recvd KP,Arizona,O,58,3,4,5,7,3,5,3,0,1,2,3,3,2,3,9,2,1,0,0,1,1,0,0,0,0,0,Received Deceased Donor Transplant
1492,Also Waiting for KP; recvd KP,Arizona,A,33,0,1,2,5,5,2,0,1,1,2,0,0,1,2,4,5,0,1,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1493,Also Waiting for KP; recvd KP,Arizona,B,15,0,1,1,2,5,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1494,Also Waiting for KP; recvd KP,Arkansas,All ABO,36,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,1,1,4,6,9,2,0,0,0,0,Received Deceased Donor Transplant
1495,Also Waiting for KP; recvd KP,Arkansas,O,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,2,3,1,0,0,0,0,Received Deceased Donor Transplant
1496,Also Waiting for KP; recvd KP,Arkansas,A,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,3,5,1,0,0,0,0,Received Deceased Donor Transplant
1497,Also Waiting for KP; recvd KP,Arkansas,B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,Received Deceased Donor Transplant
1498,Also Waiting for KP; recvd KP,California,All ABO,889,22,33,39,26,43,42,40,36,47,45,42,41,42,48,58,58,50,48,43,30,45,12,0,0,0,0,Received Deceased Donor Transplant
1499,Also Waiting for KP; recvd KP,California,O,416,12,16,20,12,28,17,19,14,22,30,24,13,12,24,16,31,21,21,20,14,25,5,0,0,0,0,Received Deceased Donor Transplant
1500,Also Waiting for KP; recvd KP,California,A,333,8,11,14,9,9,18,15,16,15,11,13,21,18,17,29,22,18,20,17,13,16,4,0,0,0,0,Received Deceased Donor Transplant
1501,Also Waiting for KP; recvd KP,California,B,104,1,6,2,4,5,6,5,4,7,3,3,6,9,6,12,4,7,1,5,2,4,2,0,0,0,0,Received Deceased Donor Transplant
1502,Also Waiting for KP; recvd KP,California,AB,36,1,0,3,1,1,1,1,2,3,1,2,1,3,1,1,1,4,6,1,1,0,1,0,0,0,0,Received Deceased Donor Transplant
1503,Also Waiting for KP; recvd KP,Colorado,All ABO,263,4,10,12,12,5,7,9,22,19,17,13,14,17,17,8,12,9,13,15,10,15,3,0,0,0,0,Received Deceased Donor Transplant
1504,Also Waiting for KP; recvd KP,Colorado,O,124,1,5,5,5,2,4,7,9,7,9,7,7,9,9,2,7,4,6,7,3,7,2,0,0,0,0,Received Deceased Donor Transplant
1505,Also Waiting for KP; recvd KP,Colorado,A,105,2,4,7,4,3,2,2,10,9,5,4,5,5,7,6,4,3,5,5,6,6,1,0,0,0,0,Received Deceased Donor Transplant
1506,Also Waiting for KP; recvd KP,Colorado,B,26,1,1,0,2,0,0,0,3,2,1,2,2,2,0,0,1,2,2,2,1,2,0,0,0,0,0,Received Deceased Donor Transplant
1507,Also Waiting for KP; recvd KP,Colorado,AB,8,0,0,0,1,0,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1508,Also Waiting for KP; recvd KP,Connecticut,All ABO,20,0,0,0,0,0,0,1,0,3,0,1,0,2,0,2,1,2,2,2,0,4,0,0,0,0,0,Received Deceased Donor Transplant
1509,Also Waiting for KP; recvd KP,Connecticut,O,7,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1510,Also Waiting for KP; recvd KP,Connecticut,A,8,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1511,Also Waiting for KP; recvd KP,Connecticut,B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1512,Also Waiting for KP; recvd KP,Connecticut,AB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Received Deceased Donor Transplant
1513,Also Waiting for KP; recvd KP,District of Columbia,All ABO,194,13,16,28,16,19,3,10,4,5,6,3,11,8,2,6,7,1,8,8,10,9,1,0,0,0,0,Received Deceased Donor Transplant
1514,Also Waiting for KP; recvd KP,District of Columbia,O,97,9,10,16,9,7,0,3,0,4,6,1,8,3,1,5,2,1,4,2,3,3,0,0,0,0,0,Received Deceased Donor Transplant
1515,Also Waiting for KP; recvd KP,District of Columbia,A,54,3,3,6,5,3,3,3,2,1,0,1,2,3,1,0,3,0,2,5,4,3,1,0,0,0,0,Received Deceased Donor Transplant
1516,Also Waiting for KP; recvd KP,District of Columbia,B,32,0,3,5,1,8,0,3,1,0,0,1,1,2,0,0,0,0,1,1,2,3,0,0,0,0,0,Received Deceased Donor Transplant
1517,Also Waiting for KP; recvd KP,District of Columbia,AB,11,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,Received Deceased Donor Transplant
1518,Also Waiting for KP; recvd KP,Florida,All ABO,292,2,1,7,1,1,5,1,0,2,0,3,5,4,24,18,35,26,32,51,52,18,5,0,0,0,0,Received Deceased Donor Transplant
1519,Also Waiting for KP; recvd KP,Florida,O,146,0,0,5,1,1,2,1,0,1,0,2,3,2,8,10,18,13,13,26,29,10,2,0,0,0,0,Received Deceased Donor Transplant
1520,Also Waiting for KP; recvd KP,Florida,A,109,1,1,1,0,0,2,0,0,0,0,1,2,2,12,7,16,11,15,17,16,5,0,0,0,0,0,Received Deceased Donor Transplant
1521,Also Waiting for KP; recvd KP,Florida,B,27,1,0,1,0,0,1,0,0,1,0,0,0,0,2,1,1,2,3,7,4,2,1,0,0,0,0,Received Deceased Donor Transplant
1522,Also Waiting for KP; recvd KP,Florida,AB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1,2,0,0,0,0,Received Deceased Donor Transplant
1523,Also Waiting for KP; recvd KP,Georgia,All ABO,491,22,10,16,17,22,15,18,11,22,18,29,34,39,23,25,25,23,27,27,43,22,4,0,0,0,0,Received Deceased Donor Transplant
1524,Also Waiting for KP; recvd KP,Georgia,O,243,15,5,6,9,9,6,10,5,12,7,15,18,25,12,10,12,10,13,15,16,10,3,0,0,0,0,Received Deceased Donor Transplant
1525,Also Waiting for KP; recvd KP,Georgia,A,180,5,3,6,6,9,5,7,6,9,10,11,11,9,4,10,11,9,10,12,19,9,0,0,0,0,0,Received Deceased Donor Transplant
1526,Also Waiting for KP; recvd KP,Georgia,B,51,1,2,4,2,3,3,1,0,1,1,3,4,4,6,2,2,2,2,0,5,2,1,0,0,0,0,Received Deceased Donor Transplant
1527,Also Waiting for KP; recvd KP,Georgia,AB,17,1,0,0,0,1,1,0,0,0,0,0,1,1,1,3,0,2,2,0,3,1,0,0,0,0,0,Received Deceased Donor Transplant
1528,Also Waiting for KP; recvd KP,Hawaii,All ABO,22,1,2,1,0,1,0,0,0,0,0,2,0,1,4,1,2,1,3,1,0,1,1,0,0,0,0,Received Deceased Donor Transplant
1529,Also Waiting for KP; recvd KP,Hawaii,O,8,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1530,Also Waiting for KP; recvd KP,Hawaii,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1531,Also Waiting for KP; recvd KP,Hawaii,B,7,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1532,Also Waiting for KP; recvd KP,Hawaii,AB,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Received Deceased Donor Transplant
1533,Also Waiting for KP; recvd KP,Illinois,All ABO,736,10,15,14,11,14,12,19,26,25,40,34,33,31,32,37,47,80,56,63,59,57,21,0,0,0,0,Received Deceased Donor Transplant
1534,Also Waiting for KP; recvd KP,Illinois,O,340,3,8,4,4,7,9,12,14,9,18,12,16,13,12,7,21,41,33,31,29,28,9,0,0,0,0,Received Deceased Donor Transplant
1535,Also Waiting for KP; recvd KP,Illinois,A,259,5,6,9,4,5,2,5,9,13,14,16,7,13,13,19,14,22,15,22,19,19,8,0,0,0,0,Received Deceased Donor Transplant
1536,Also Waiting for KP; recvd KP,Illinois,B,95,1,1,1,2,2,0,2,1,2,6,3,6,4,4,9,6,11,6,8,10,7,3,0,0,0,0,Received Deceased Donor Transplant
1537,Also Waiting for KP; recvd KP,Illinois,AB,42,1,0,0,1,0,1,0,2,1,2,3,4,1,3,2,6,6,2,2,1,3,1,0,0,0,0,Received Deceased Donor Transplant
1538,Also Waiting for KP; recvd KP,Indiana,All ABO,445,18,20,17,25,32,20,16,15,25,16,22,19,29,36,28,30,29,25,8,6,8,2,0,0,0,0,Received Deceased Donor Transplant
1539,Also Waiting for KP; recvd KP,Indiana,O,201,7,11,10,9,16,11,8,7,10,7,11,9,10,17,12,15,10,10,5,5,2,0,0,0,0,0,Received Deceased Donor Transplant
1540,Also Waiting for KP; recvd KP,Indiana,A,192,5,9,4,16,12,8,4,6,12,8,8,6,16,15,12,13,14,13,3,1,5,2,0,0,0,0,Received Deceased Donor Transplant
1541,Also Waiting for KP; recvd KP,Indiana,B,36,5,0,3,0,4,1,2,1,2,0,2,3,3,2,1,2,3,2,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1542,Also Waiting for KP; recvd KP,Indiana,AB,16,1,0,0,0,0,0,2,1,1,1,1,1,0,2,3,0,2,0,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1543,Also Waiting for KP; recvd KP,Iowa,All ABO,18,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,1,4,3,1,0,0,0,0,Received Deceased Donor Transplant
1544,Also Waiting for KP; recvd KP,Iowa,O,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,0,0,0,0,Received Deceased Donor Transplant
1545,Also Waiting for KP; recvd KP,Iowa,A,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1546,Also Waiting for KP; recvd KP,Iowa,B,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1547,Also Waiting for KP; recvd KP,Iowa,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1548,Also Waiting for KP; recvd KP,Kansas,All ABO,106,0,0,0,0,0,0,0,0,0,1,2,11,12,10,5,4,1,9,16,21,13,1,0,0,0,0,Received Deceased Donor Transplant
1549,Also Waiting for KP; recvd KP,Kansas,O,48,0,0,0,0,0,0,0,0,0,0,2,1,5,6,3,2,0,5,7,11,5,1,0,0,0,0,Received Deceased Donor Transplant
1550,Also Waiting for KP; recvd KP,Kansas,A,44,0,0,0,0,0,0,0,0,0,1,0,8,4,3,2,2,1,4,6,8,5,0,0,0,0,0,Received Deceased Donor Transplant
1551,Also Waiting for KP; recvd KP,Kansas,B,11,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,1,3,0,0,0,0,0,Received Deceased Donor Transplant
1552,Also Waiting for KP; recvd KP,Kansas,AB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Received Deceased Donor Transplant
1553,Also Waiting for KP; recvd KP,Kentucky,All ABO,99,0,0,0,2,0,0,7,13,6,3,7,5,4,9,5,6,7,4,6,2,13,1,0,0,0,0,Received Deceased Donor Transplant
1554,Also Waiting for KP; recvd KP,Kentucky,O,45,0,0,0,1,0,0,3,7,2,2,4,1,3,4,4,1,3,3,3,0,4,0,0,0,0,0,Received Deceased Donor Transplant
1555,Also Waiting for KP; recvd KP,Kentucky,A,41,0,0,0,0,0,0,4,5,3,1,2,2,1,3,1,4,2,1,3,2,7,1,0,0,0,0,Received Deceased Donor Transplant
1556,Also Waiting for KP; recvd KP,Kentucky,B,8,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1557,Also Waiting for KP; recvd KP,Kentucky,AB,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1558,Also Waiting for KP; recvd KP,Louisiana,All ABO,214,1,1,3,1,1,2,2,2,18,10,17,19,14,21,8,12,17,19,7,12,21,6,0,0,0,0,Received Deceased Donor Transplant
1559,Also Waiting for KP; recvd KP,Louisiana,O,91,0,0,1,1,1,1,1,1,11,1,5,6,6,9,3,3,9,10,3,3,12,4,0,0,0,0,Received Deceased Donor Transplant
1560,Also Waiting for KP; recvd KP,Louisiana,A,78,0,0,1,0,0,1,1,1,7,3,9,8,4,7,3,7,5,4,3,8,5,1,0,0,0,0,Received Deceased Donor Transplant
1561,Also Waiting for KP; recvd KP,Louisiana,B,37,1,1,1,0,0,0,0,0,0,4,3,5,2,5,0,2,2,4,1,1,4,1,0,0,0,0,Received Deceased Donor Transplant
1562,Also Waiting for KP; recvd KP,Louisiana,AB,8,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1563,Also Waiting for KP; recvd KP,Maine,All ABO,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,3,2,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1564,Also Waiting for KP; recvd KP,Maine,O,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,3,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1565,Also Waiting for KP; recvd KP,Maine,A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1566,Also Waiting for KP; recvd KP,Maryland,All ABO,370,28,39,37,30,12,14,7,9,17,18,23,13,10,15,21,14,15,5,6,13,22,6,0,0,0,0,Received Deceased Donor Transplant
1567,Also Waiting for KP; recvd KP,Maryland,O,156,14,21,17,13,3,6,3,3,9,9,8,6,3,10,13,4,3,1,1,4,5,1,0,0,0,0,Received Deceased Donor Transplant
1568,Also Waiting for KP; recvd KP,Maryland,A,148,10,12,16,13,4,7,3,4,6,7,11,6,4,1,4,7,8,2,3,8,10,4,0,0,0,0,Received Deceased Donor Transplant
1569,Also Waiting for KP; recvd KP,Maryland,B,53,4,3,4,2,5,1,1,1,2,0,4,1,2,4,4,3,2,1,1,0,7,1,0,0,0,0,Received Deceased Donor Transplant
1570,Also Waiting for KP; recvd KP,Maryland,AB,13,0,3,0,2,0,0,0,1,0,2,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,Received Deceased Donor Transplant
1571,Also Waiting for KP; recvd KP,Massachusetts,All ABO,103,6,5,7,3,9,6,6,9,6,6,4,3,3,3,4,6,5,2,2,2,4,2,0,0,0,0,Received Deceased Donor Transplant
1572,Also Waiting for KP; recvd KP,Massachusetts,O,50,5,4,3,1,4,4,1,4,4,3,3,1,2,1,0,3,3,0,1,0,2,1,0,0,0,0,Received Deceased Donor Transplant
1573,Also Waiting for KP; recvd KP,Massachusetts,A,32,0,1,3,2,3,0,3,3,1,1,0,1,1,2,4,2,1,1,1,0,2,0,0,0,0,0,Received Deceased Donor Transplant
1574,Also Waiting for KP; recvd KP,Massachusetts,B,13,0,0,0,0,2,2,1,1,0,2,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,Received Deceased Donor Transplant
1575,Also Waiting for KP; recvd KP,Massachusetts,AB,8,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1576,Also Waiting for KP; recvd KP,Michigan,All ABO,297,5,4,12,12,12,11,9,14,19,14,19,21,19,15,36,11,20,14,13,10,5,3,0,0,0,0,Received Deceased Donor Transplant
1577,Also Waiting for KP; recvd KP,Michigan,O,140,1,0,7,6,6,4,3,8,9,9,7,12,8,7,19,3,6,7,7,8,2,1,0,0,0,0,Received Deceased Donor Transplant
1578,Also Waiting for KP; recvd KP,Michigan,A,109,3,4,4,6,4,4,4,5,10,1,7,5,7,6,12,5,10,5,4,1,1,2,0,0,0,0,Received Deceased Donor Transplant
1579,Also Waiting for KP; recvd KP,Michigan,B,37,1,0,1,0,1,2,1,1,0,4,3,4,3,2,3,3,3,2,1,1,1,0,0,0,0,0,Received Deceased Donor Transplant
1580,Also Waiting for KP; recvd KP,Michigan,AB,11,0,0,0,0,1,1,1,0,0,0,2,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1581,Also Waiting for KP; recvd KP,Minnesota,All ABO,572,31,36,36,26,33,32,21,21,19,26,17,29,20,19,26,23,22,15,26,41,46,14,0,0,0,0,Received Deceased Donor Transplant
1582,Also Waiting for KP; recvd KP,Minnesota,O,210,12,13,16,10,10,15,7,5,5,11,6,13,9,7,8,5,11,6,8,16,16,3,0,0,0,0,Received Deceased Donor Transplant
1583,Also Waiting for KP; recvd KP,Minnesota,A,243,13,13,12,10,15,10,12,9,8,10,7,12,6,9,16,13,7,7,12,15,23,8,0,0,0,0,Received Deceased Donor Transplant
1584,Also Waiting for KP; recvd KP,Minnesota,B,83,5,4,8,4,5,2,2,5,4,3,4,4,5,2,1,3,3,2,3,7,5,3,0,0,0,0,Received Deceased Donor Transplant
1585,Also Waiting for KP; recvd KP,Minnesota,AB,36,1,6,0,2,3,5,0,2,2,2,0,0,0,1,1,2,1,0,3,3,2,0,0,0,0,0,Received Deceased Donor Transplant
1586,Also Waiting for KP; recvd KP,Mississippi,All ABO,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1587,Also Waiting for KP; recvd KP,Mississippi,O,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1588,Also Waiting for KP; recvd KP,Missouri,All ABO,144,0,0,1,2,1,0,2,1,7,5,11,15,12,13,14,20,9,7,7,6,12,0,0,0,0,0,Received Deceased Donor Transplant
1589,Also Waiting for KP; recvd KP,Missouri,O,77,0,0,1,1,1,0,1,1,2,4,6,4,6,6,7,14,4,5,2,3,9,0,0,0,0,0,Received Deceased Donor Transplant
1590,Also Waiting for KP; recvd KP,Missouri,A,54,0,0,0,1,0,0,1,0,4,1,4,9,6,4,6,5,4,2,4,2,2,0,0,0,0,0,Received Deceased Donor Transplant
1591,Also Waiting for KP; recvd KP,Missouri,B,10,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,1,0,0,1,1,0,0,0,0,0,Received Deceased Donor Transplant
1592,Also Waiting for KP; recvd KP,Missouri,AB,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1593,Also Waiting for KP; recvd KP,Nebraska,All ABO,139,1,1,3,4,1,2,3,7,5,5,3,13,9,16,6,10,6,10,12,8,13,1,0,0,0,0,Received Deceased Donor Transplant
1594,Also Waiting for KP; recvd KP,Nebraska,O,66,1,0,3,2,0,0,2,4,3,4,1,7,3,8,3,0,2,5,7,6,5,0,0,0,0,0,Received Deceased Donor Transplant
1595,Also Waiting for KP; recvd KP,Nebraska,A,51,0,1,0,1,0,1,0,2,2,1,2,5,4,4,3,7,3,4,4,1,5,1,0,0,0,0,Received Deceased Donor Transplant
1596,Also Waiting for KP; recvd KP,Nebraska,B,15,0,0,0,0,1,0,1,1,0,0,0,1,1,3,0,3,0,0,1,1,2,0,0,0,0,0,Received Deceased Donor Transplant
1597,Also Waiting for KP; recvd KP,Nebraska,AB,7,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1598,Also Waiting for KP; recvd KP,Nevada,All ABO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1599,Also Waiting for KP; recvd KP,Nevada,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1600,Also Waiting for KP; recvd KP,Nevada,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1601,Also Waiting for KP; recvd KP,Nevada,AB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1602,Also Waiting for KP; recvd KP,New Hampshire,All ABO,29,0,0,0,0,1,1,2,1,1,5,3,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1603,Also Waiting for KP; recvd KP,New Hampshire,O,13,0,0,0,0,0,0,0,0,0,4,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1604,Also Waiting for KP; recvd KP,New Hampshire,A,14,0,0,0,0,0,1,2,0,1,1,0,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1605,Also Waiting for KP; recvd KP,New Hampshire,B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1606,Also Waiting for KP; recvd KP,New Hampshire,AB,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1607,Also Waiting for KP; recvd KP,New Jersey,All ABO,168,1,0,0,0,3,2,2,7,6,6,11,13,23,22,19,21,10,12,3,1,4,2,0,0,0,0,Received Deceased Donor Transplant
1608,Also Waiting for KP; recvd KP,New Jersey,O,63,0,0,0,0,1,1,1,2,0,4,6,10,12,11,4,3,2,0,2,0,2,2,0,0,0,0,Received Deceased Donor Transplant
1609,Also Waiting for KP; recvd KP,New Jersey,A,55,1,0,0,0,2,1,1,3,2,2,3,2,4,5,9,7,6,6,0,0,1,0,0,0,0,0,Received Deceased Donor Transplant
1610,Also Waiting for KP; recvd KP,New Jersey,B,37,0,0,0,0,0,0,0,2,3,0,2,1,2,6,4,7,2,5,1,1,1,0,0,0,0,0,Received Deceased Donor Transplant
1611,Also Waiting for KP; recvd KP,New Jersey,AB,13,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,4,0,1,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1612,Also Waiting for KP; recvd KP,New Mexico,All ABO,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1613,Also Waiting for KP; recvd KP,New Mexico,O,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1614,Also Waiting for KP; recvd KP,New Mexico,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1615,Also Waiting for KP; recvd KP,New York,All ABO,501,45,67,49,29,34,28,25,20,18,22,25,14,13,11,16,15,16,12,16,9,14,3,0,0,0,0,Received Deceased Donor Transplant
1616,Also Waiting for KP; recvd KP,New York,O,219,20,36,21,16,14,16,15,8,9,6,9,5,5,4,8,5,4,4,5,2,5,2,0,0,0,0,Received Deceased Donor Transplant
1617,Also Waiting for KP; recvd KP,New York,A,179,12,21,20,9,11,9,8,7,5,10,11,4,5,4,4,9,8,5,9,4,3,1,0,0,0,0,Received Deceased Donor Transplant
1618,Also Waiting for KP; recvd KP,New York,B,78,10,5,7,4,6,2,2,5,3,3,5,5,2,3,1,1,3,2,2,1,6,0,0,0,0,0,Received Deceased Donor Transplant
1619,Also Waiting for KP; recvd KP,New York,AB,25,3,5,1,0,3,1,0,0,1,3,0,0,1,0,3,0,1,1,0,2,0,0,0,0,0,0,Received Deceased Donor Transplant
1620,Also Waiting for KP; recvd KP,North Carolina,All ABO,474,22,26,19,23,22,18,19,15,22,28,17,25,29,43,30,28,22,7,29,16,12,2,0,0,0,0,Received Deceased Donor Transplant
1621,Also Waiting for KP; recvd KP,North Carolina,O,236,12,15,11,14,12,10,13,9,10,8,9,12,17,20,13,15,8,6,9,7,5,1,0,0,0,0,Received Deceased Donor Transplant
1622,Also Waiting for KP; recvd KP,North Carolina,A,162,7,7,5,7,5,5,6,4,8,11,6,8,9,18,11,6,11,1,15,6,5,1,0,0,0,0,Received Deceased Donor Transplant
1623,Also Waiting for KP; recvd KP,North Carolina,B,55,3,3,1,1,4,1,0,1,3,6,0,5,2,4,4,5,3,0,4,3,2,0,0,0,0,0,Received Deceased Donor Transplant
1624,Also Waiting for KP; recvd KP,North Carolina,AB,21,0,1,2,1,1,2,0,1,1,3,2,0,1,1,2,2,0,0,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1625,Also Waiting for KP; recvd KP,North Dakota,All ABO,28,0,0,0,0,0,0,0,2,0,1,2,3,4,1,4,2,5,1,3,0,0,0,0,0,0,0,Received Deceased Donor Transplant
1626,Also Waiting for KP; recvd KP,North Dakota,O,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,1,0,0,0,0,0,0,0,Received Deceased Donor Transplant
